Class	DIT	NOC	MHF (%)	AHF (%)	MIF (%)	AIF (%)	POF (%)
AllowCommentsAttribute	1	0	0%	0%	0%	0%	0%
ArrayConverter	3	0	0%	0%	67%	0%	0%
ArrayHelper	0	0	0%	0%	0%	0%	0%
AsyncExtensions	0	0	0%	0%	0%	0%	0%
Attribute	0	47	0%	0%	0%	0%	0%
BadDataException	2	0	0%	0%	100%	33%	0%
BigIntegerConverter	2	0	0%	0%	50%	0%	0%
BooleanConverter	2	0	0%	0%	50%	0%	0%
BooleanFalseValuesAttribute	1	0	0%	0%	0%	0%	0%
BooleanTrueValuesAttribute	1	0	0%	0%	0%	0%	0%
BufferSizeAttribute	1	0	0%	0%	0%	0%	0%
BuilderClassMap	1	0	0%	0%	0%	0%	0%
ByteArrayConverter	2	0	0%	100%	29%	0%	0%
ByteConverter	2	0	0%	0%	67%	0%	0%
CacheFieldsAttribute	1	0	0%	0%	0%	0%	0%
CharConverter	2	0	0%	0%	67%	0%	0%
ClassMap	1	1	0%	100%	50%	50%	0%
ClassMap<T>	0	2	0%	0%	0%	0%	0%
ClassMapBuilder	1	0	0%	100%	0%	0%	0%
ClassMapCollection	0	0	0%	100%	0%	0%	0%
CollectionConverterFactory	1	0	0%	100%	0%	0%	0%
CollectionGenericConverter	3	0	0%	0%	67%	0%	0%
CommentAttribute	1	0	0%	0%	0%	0%	0%
ConfigurationException	2	0	0%	0%	100%	100%	0%
ConfigurationFunctions	0	0	0%	100%	0%	0%	0%
ConstantAttribute	1	0	0%	0%	0%	0%	0%
CountBytesAttribute	1	0	0%	0%	0%	0%	0%
CsvContext	0	0	0%	0%	0%	0%	0%
CsvDataReader	1	0	0%	100%	0%	0%	0%
CsvHelperException	1	8	0%	100%	0%	0%	0%
CsvParser	1	0	0%	100%	0%	0%	0%
CsvReader	1	0	0%	100%	0%	0%	0%
CsvWriter	1	0	0%	100%	0%	0%	0%
CultureInfoAttribute	1	0	0%	0%	0%	0%	0%
DateTimeConverter	2	0	0%	0%	67%	0%	0%
DateTimeOffsetConverter	2	0	0%	0%	67%	0%	0%
DateTimeStylesAttribute	1	0	0%	0%	0%	0%	0%
DecimalConverter	2	0	0%	0%	67%	0%	0%
DefaultAttribute	1	0	0%	0%	0%	0%	0%
DefaultClassMap	1	0	0%	0%	0%	0%	0%
DefaultTypeConverter	1	26	0%	0%	0%	0%	60%
DelimiterAttribute	1	0	0%	0%	0%	0%	0%
DetectColumnCountChangesAttribute	1	0	0%	0%	0%	0%	0%
DetectDelimiterAttribute	1	0	0%	0%	0%	0%	0%
DetectDelimiterValuesAttribute	1	0	0%	0%	0%	0%	0%
DoubleConverter	2	0	0%	100%	50%	0%	0%
DynamicMetaObject	0	1	0%	0%	0%	0%	0%
DynamicRecordCreator	1	0	0%	0%	50%	100%	0%
DynamicRecordWriter	1	0	0%	100%	67%	67%	0%
EncodingAttribute	1	0	0%	0%	0%	0%	0%
EnumConverter	2	0	0%	100%	50%	0%	0%
EnumConverterFactory	1	0	0%	0%	0%	0%	0%
EnumerableConverter	2	0	0%	0%	50%	0%	0%
EnumIgnoreCaseAttribute	1	0	0%	0%	0%	0%	0%
EscapeAttribute	1	0	0%	0%	0%	0%	0%
Exception	0	1	0%	0%	0%	0%	0%
ExceptionMessagesContainRawDataAttribute	1	0	0%	0%	0%	0%	0%
ExpandoObjectRecordWriter	1	0	0%	0%	80%	100%	0%
ExpressionManager	0	0	0%	100%	0%	0%	0%
Factory	1	0	0%	0%	0%	0%	0%
FastDynamicMetaObject	1	0	0%	100%	0%	0%	0%
FastDynamicObject	1	0	0%	100%	0%	0%	0%
FieldCache	0	0	0%	100%	0%	0%	0%
FieldValidationException	3	0	0%	0%	0%	0%	0%
FormatAttribute	1	0	0%	0%	0%	0%	0%
GuidConverter	2	0	0%	0%	67%	0%	0%
HasHeaderRecordAttribute	1	0	0%	0%	0%	0%	0%
HeaderPrefixAttribute	1	0	0%	0%	0%	0%	0%
HeaderValidationException	3	0	0%	0%	0%	0%	0%
IComparer<MemberMap>	0	1	0%	0%	0%	0%	0%
IDataReader	0	1	0%	0%	0%	0%	0%
IDictionaryConverter	2	1	0%	0%	50%	0%	50%
IDictionaryGenericConverter	3	0	0%	0%	67%	0%	0%
IDynamicMetaObjectProvider	0	1	0%	0%	0%	0%	0%
IEnumerable<string>	0	1	0%	0%	0%	0%	0%
IEnumerableConverter	2	3	0%	0%	50%	0%	50%
IEnumerableGenericConverter	3	0	0%	0%	67%	0%	0%
IFactory	0	1	0%	0%	0%	0%	0%
IgnoreAttribute	1	0	0%	0%	0%	0%	0%
IgnoreBaseAttribute	1	0	0%	0%	0%	0%	0%
IgnoreBlankLinesAttribute	1	0	0%	0%	0%	0%	0%
IgnoreReferencesAttribute	1	0	0%	0%	0%	0%	0%
IHasMap<TClass>	0	2	0%	0%	0%	0%	0%
IList<MemberMap>	0	1	0%	0%	0%	0%	0%
IList<MemberReferenceMap>	0	1	0%	0%	0%	0%	0%
IncludePrivateMembersAttribute	1	0	0%	0%	0%	0%	0%
IndexAttribute	1	0	0%	0%	0%	0%	0%
InjectionCharactersAttribute	1	0	0%	0%	0%	0%	0%
InjectionEscapeCharacterAttribute	1	0	0%	0%	0%	0%	0%
InjectionOptionsAttribute	1	0	0%	0%	0%	0%	0%
Int16Converter	2	0	0%	0%	67%	0%	0%
Int32Converter	2	0	0%	0%	67%	0%	0%
Int64Converter	2	0	0%	0%	67%	0%	0%
InvalidHeader	0	0	0%	0%	0%	0%	0%
IObjectResolver	0	1	0%	0%	0%	0%	0%
